MODELO,MARCA,TIPOCOMPRA,ANIOS,KILOMETRAJE,CIUDAD,TIPOPRECIO,PRECIO
Ford,Explorer XLT,GOLD,2017,63000,Quito,Negociable,46900
Lexus,RX 450 Hibrido,GOLD,2010,101559,Quito,Negociable,22500
Jeep,Cherokee Limited,GOLD,2013,80000,Quito,Negociable,48900
Chevrolet,Aveo Emotion,GOLD,2011,186000,Quito,Negociable,9900
Suzuki,Grand Vitara SZ,GOLD,2013,180000,Quito,Negociable,13900
Suzuki,Grand Vitara SZ,GOLD,2015,47000,Quito,Negociable,15900
Great Wall,H6,GOLD,2018,51000,Quito,Negociable,18900
Kia,Carnival,GOLD,2018,60000,Quito,Negociable,34900
Nissan,X Trail Sense,GOLD,2016,64000,Quito,Negociable,25900
Chevrolet,Sail,GOLD,2019,9000,Quito,Negociable,14500
Kia,Carens R,GOLD,2015,130000,Quito,Negociable,18300
Jeep,Grand Cherokee,GOLD,2013,112241,Quito,Negociable,29900
Renault,Sandero,GOLD,2019,18000,Quito,Negociable,14900
Nissan,X Trail Sense,GOLD,2017,56000,Quito,Negociable,30000
Jeep,Cherokee,GOLD,2013,112241,Quito,Negociable,29900
Jeep,Cherokee Laredo,GOLD,2013,112241,Quito,Negociable,29900
Kia,Picanto R,GOLD,2019,10000,Riobamba,Negociable,14800
Volkswagen,Polo,GOLD,2018,15700,Riobamba,Fijo,16900
Toyota,Fortuner 2.7,GOLD,2015,122000,Quito,Negociable,31900
Jeep,Grand Cherokee Blindado,GOLD,2012,42000,Quito,Negociable,39900
Ford,Explorer XLT,GOLD,2012,150000,Guayaquil,Negociable,26500
Chevrolet,Cavalier,GOLD,2019,36000,Guayaquil,Negociable,18000
Chevrolet,Aveo Family,GOLD,2015,136000,Guayaquil,Negociable,10000
Chevrolet,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,GOLD,2014,131000,Quito,Negociable,25900
Great Wall,Haval H6,GOLD,2019,50000,Quito,Negociable,18900
Chevrolet,Captiva,GOLD,2008,178000,Quito,Negociable,12500
Kia,Rio LX AC,GOLD,2019,27000,Quito,Negociable,16500
Mercedes Benz,C200,GOLD,2014,35000,Quito,Negociable,34900
Chevrolet,Spark Lite,GOLD,2017,64287,Quito,Negociable,8900
Chevrolet,Spark Life,GOLD,2017,64287,Quito,Negociable,8900
Volkswagen,Amazon,GOLD,1987,264548,Quito,Negociable,4700
Mercedes Benz,280,GOLD,1977,326000,Cuenca,Negociable,9800
Hyundai,Accent New,STANDAR,2016,72000,Guayaquil,Negociable,15800
Jeep,Grand Cherokee Overland,GOLD,2012,71116,Quito,Fijo,35900
Hyundai,TUCSON TL,GOLD,2016,23000,Guayaquil,Negociable,26000
Chevrolet,Cruze,GOLD,2015,65000,Quito,Negociable,16300
Ford,Expedition,GOLD,2019,9000,Guayaquil,Negociable,120000
Mitsubishi,Lancer,GOLD,2002,198000,Cuenca,Negociable,10800
Chevrolet,Aveo Family,STANDAR,2015,160000,Quito,Negociable,9900
Nissan,Xtrail Classic,GOLD,2007,175663,Quito,Negociable,10500
Hyundai,GRAN I10,GOLD,2018,34634,Quito,Negociable,12700
Jeep,Wrangler Unlimited Sahara,GOLD,2012,80000,Quito,Fijo,60000
Ford,Escape Hibrido,GOLD,2010,150213,Quito,Fijo,13900
Renault,Duster 2.0,STANDAR,2014,72000,Guayaquil,Negociable,15500
Chery,Tiggo 5,GOLD,2016,120000,Quito,Negociable,14300
Nissan,X Trail Sense,GOLD,2015,81800,Cuenca,Negociable,24000
DongFeng,AX4,GOLD,2020,6700,Quito,Negociable,17900
Chevrolet,Captiva Sport,GOLD,2015,115000,Quito,Negociable,16900
Hyundai,Sonata,GOLD,2015,100000,Quito,Negociable,15500
Toyota,Corolla 1.8,GOLD,2007,56881,Quito,Fijo,12900
Suzuki,Grand Vitara SZ 2.4,GOLD,2015,111511,Quito,Fijo,16900
Hyundai,TUCSON TL,STANDAR,2017,44000,Quito,Negociable,27900
Chevrolet,Aveo Family,STANDAR,2018,35000,Quito,Negociable,11900
Great Wall,H6,GOLD,2019,22000,Quito,Negociable,17900
Ford,Ecosport,GOLD,2007,171025,Quito,Negociable,10900
Chevrolet,Trailblazer,GOLD,2005,108293,Quito,Fijo,10900
Toyota,Camry Hibrido,STANDAR,2009,80000,Quito,Negociable,13000
Chevrolet,Grand Vitara SZ,STANDAR,2017,47000,Quito,Negociable,17000
Hyundai,Getz,STANDAR,2011,175000,Quito,Negociable,9700
Peugeot,3008,STANDAR,2019,18000,Quito,Negociable,42900
Dodge,Nitro,GOLD,2008,90000,Quito,Negociable,26777
Kia,Picanto,GOLD,2019,16000,Cuenca,Negociable,12500
Kia,Picanto R,GOLD,2019,16000,Cuenca,Negociable,12500
Hyundai,Santa Fe 4x2,STANDAR,2010,185000,Quito,Negociable,14900
Honda,Odissey,GOLD,2006,179000,Quito,Negociable,16777
Chevrolet,Optra,GOLD,2005,223160,Quito,Fijo,9900
Chevrolet,Grand Vitara 3P,GOLD,2011,160000,Quito,Negociable,10900
Kia,Mohave,GOLD,2010,167000,Quito,Negociable,16900
Changan,CS 55,GOLD,2020,17403,Quito,Negociable,24900
Kia,Sportage LX,GOLD,2013,150000,Quito,Negociable,13900
Hyundai,H1,STANDAR,2011,494000,Quito,Negociable,16900
Suzuki,Grand Vitara SZ,GOLD,2018,30000,Quito,Negociable,18900
Ford,Edge,STANDAR,2013,130000,Quito,Fijo,22900
Hyundai,Santa Fe 4x2,STANDAR,2007,218000,Quito,Fijo,13900
Chevrolet,Equinox,GOLD,2018,10000,Quito,Negociable,28900
Skoda,Fabia,GOLD,2008,208000,Quito,Negociable,6500
Volkswagen,Polo,GOLD,2005,177000,Quito,Negociable,7500
Nissan,Versa,GOLD,2015,45000,Quito,Negociable,13900
Volkswagen,Bora,GOLD,2009,127000,Quito,Negociable,13900
Nissan,Tiida,GOLD,2009,103693,Quito,Negociable,11900
Toyota,Crown,GOLD,1994,384024,Quito,Negociable,8900
Ford,F-150 Flareside,STANDAR,2010,138000,Quito,Fijo,16900
Chevrolet,Trailblazer,GOLD,2004,153000,Quito,Negociable,10877
Porsche,Cayenne Turbo,GOLD,2008,111500,Quito,Negociable,59777
Toyota,Highlander Hibrido,GOLD,2010,82397,Quito,Negociable,20500
Toyota,Highlander,GOLD,2010,82397,Quito,Negociable,20500
Toyota,4 Runner Limited,GOLD,2004,182000,Quito,Negociable,18900
Mercedes Benz,ML350,GOLD,2014,42000,Quito,Negociable,65900
Chevrolet,D-MAX CRDI  3.0 CD 4X2  DIESEL,GOLD,2018,117000,Quito,Negociable,21900
Suzuki,Grand Vitara SZ,GOLD,2017,83000,Quito,Negociable,19900
Chevrolet,Aveo Family,GOLD,2016,110000,Quito,Negociable,9900
Chevrolet,Aveo Family,GOLD,2015,204000,Quito,Negociable,10400
Kia,Carnival,GOLD,2007,224000,Quito,Negociable,15900
Great Wall,H5 Turbo,GOLD,2015,90000,Quito,Negociable,15400
Volkswagen,Jetta,GOLD,2011,82600,Quito,Negociable,13377
Chevrolet,Sail,GOLD,2014,110000,Quito,Negociable,10400
Mercedes Benz,E240,GOLD,1998,208000,Quito,Negociable,13777
Kia,Rio LX AC,GOLD,2019,7300,Quito,Negociable,16900
Chevrolet,Grand Vitara 5P,GOLD,2007,200000,Quito,Negociable,11900
Chevrolet,Beat,GOLD,2019,13000,Quito,Negociable,13500
Chevrolet,Sail,GOLD,2015,90000,Quito,Negociable,11500
Great Wall,Hover H5 Elite,GOLD,2015,95000,Quito,Negociable,15900
Hyundai,Accent,GOLD,2014,64000,Quito,Negociable,15900
Ford,Edge,GOLD,2013,114000,Quito,Negociable,24777
Nissan,Armada,STANDAR,2005,169000,Quito,Negociable,20900
Skoda,Fabia,STANDAR,2006,225000,Quito,Negociable,7900
Renault,Twingo,STANDAR,2001,210000,Quito,Negociable,4900
Mercedes Benz,C180 K,GOLD,2005,110000,Quito,Negociable,21777
Nissan,Pathfinder,GOLD,2004,200000,Quito,Fijo,12500
BMW,325i,GOLD,2001,159000,Quito,Negociable,15777
Porsche,Cayenne,GOLD,2008,110000,Quito,Negociable,42977
Chevrolet,Optra Advance,GOLD,2013,111000,Quito,Negociable,11500
Kia,Optima,GOLD,2017,49000,Quito,Negociable,20900
Volkswagen,Gol Power,GOLD,2011,147000,Guayaquil,Negociable,9900
Ford,F150 XLT CD,GOLD,2012,237000,Guayaquil,Negociable,21000
Kia,SPORTAGE R LX 2.0,GOLD,2014,119000,Guayaquil,Negociable,19900
Mercedes Benz,E320,GOLD,2000,119200,Quito,Negociable,19777
Chevrolet,TrailBlazer Extended,GOLD,2003,242500,Quito,Negociable,10777
Ford,F250,GOLD,1976,350000,Quito,Negociable,10777
Citroen,Jumpy Carga,GOLD,2014,94314,Guayaquil,Negociable,28000
Mercedes Benz,SLK 350,GOLD,2010,48613,Quito,Negociable,56000
Chevrolet,Sail,GOLD,2014,108000,Quito,Negociable,9800
Toyota,Fortuner 2.7,GOLD,2013,98000,Quito,Negociable,27900
Chevrolet,Sail,GOLD,2015,156000,Quito,Negociable,11900
Volkswagen,Tiguan,GOLD,2009,118000,Quito,Negociable,16500
Hyundai,Accent New,GOLD,2012,120000,Guayaquil,Negociable,11900
Chevrolet,Sail,GOLD,2018,54000,Quito,Negociable,15300
Suzuki,S Cross,GOLD,2018,70000,Quito,Negociable,17900
Hyundai,Tucson IX,GOLD,2013,113000,Guayaquil,Negociable,18000
Chevrolet,Aveo Family,GOLD,2018,43000,Quito,Negociable,12400
Chevrolet,Captiva Sport,GOLD,2017,46000,Quito,Negociable,20900
Honda,CR-V,GOLD,1997,343200,Quito,Negociable,7777
Chevrolet,Spark GT,GOLD,2017,50000,Quito,Negociable,10900
Ford,Escape,GOLD,2013,100000,Quito,Negociable,18500
Hyundai,Tucson IX,GOLD,2014,120000,Guayaquil,Negociable,18500
Mitsubishi,Montero 5P,GOLD,2001,414000,Quito,Negociable,13500
Chevrolet,Grand Vitara 5P,GOLD,2001,240000,Quito,Negociable,10900
Chevrolet,Sail,GOLD,2013,280000,Quito,Negociable,8900
Mazda,CX-9,GOLD,2008,139000,Quito,Negociable,18900
Suzuki,S Cross,GOLD,2019,34000,Quito,Negociable,18900
Great Wall,WINGLE,GOLD,2018,63000,Quito,Negociable,16900
Hyundai,Santa Fe 4x4,GOLD,2014,75000,Quito,Negociable,35777
Mercedes Benz,E280,GOLD,1994,232000,Quito,Negociable,14577
Ford,Escape,GOLD,2013,102000,Quito,Negociable,17499
Volkswagen,Tiguan,GOLD,2009,170000,Quito,Negociable,18777
Kia,Sorento,GOLD,2014,99000,Guayaquil,Negociable,23900
Hyundai,Ioniq Hybrid,GOLD,2018,48000,Quito,Negociable,18900
Mazda,CX-5,GOLD,2014,130000,Guayaquil,Negociable,22000
Ford,Explorer XLT,GOLD,2013,110000,Guayaquil,Negociable,28700
Mazda,CX-9,GOLD,2016,36000,Quito,Negociable,37800
Volkswagen,Voyage,GOLD,2016,68000,Quito,Negociable,12900
Kia,Cerato,GOLD,2015,52000,Quito,Negociable,13900
Chevrolet,Aveo Family,GOLD,2011,200000,Quito,Negociable,8900
Chevrolet,D-MAX CRDI FULL AC 3.0 CD 4X4,STANDAR,2014,155000,Guayaquil,Negociable,24000
Mazda,323,GOLD,1997,400000,Quito,Negociable,5900
Great Wall,H5,GOLD,2012,134586,Quito,Negociable,12700
Toyota,Camry Hibrido,STANDAR,2011,26000,Guayaquil,Negociable,14800
Ford,F150 DC 4X2,STANDAR,2010,176000,Guayaquil,Negociable,20800
Skoda,Fabia,STANDAR,2011,145000,Guayaquil,Negociable,10500
Ford,F-150 FX4,STANDAR,2014,138600,Guayaquil,Negociable,38800
Toyota,Hilux CD 4x4,STANDAR,2008,189000,Guayaquil,Negociable,18300
Kia,Cerato Forte,STANDAR,2015,85000,Guayaquil,Negociable,16350
BMW,X3 3.0i,GOLD,2006,148600,Quito,Negociable,22777
BMW,X6,GOLD,2011,39651,Quito,Negociable,48900
BMW,X6 Hibrido,GOLD,2011,39651,Quito,Negociable,48900
Hyundai,Tucson IX,GOLD,2012,131000,Guayaquil,Negociable,15000
Mercedes Benz,E320,GOLD,1998,182500,Quito,Negociable,17777
Citroen,C4 Picasso,GOLD,2012,175000,Guayaquil,Negociable,13990
Chevrolet,Tahoe Híbrido,GOLD,2010,209000,Quito,Negociable,22900
Infiniti,G 35,GOLD,2006,20000,Quito,Negociable,38777
Renault,Duster 1.6,GOLD,2014,123220,Quito,Negociable,14900
BMW,X3,GOLD,2011,74000,Quito,Negociable,39900
Chevrolet,Sail,GOLD,2018,50000,Quito,Negociable,14900
Ford,Explorer 5P,GOLD,2008,181000,Guayaquil,Negociable,13800
Volkswagen,Amarok,GOLD,2017,56000,Quito,Negociable,27000
Chevrolet,Sail,GOLD,2014,150000,Quito,Negociable,11900
Honda,Odissey,GOLD,2008,120000,Quito,Negociable,23777
Ford,Explorer XLT,GOLD,2008,178000,Quito,Negociable,13900
Chevrolet,Silverado,GOLD,2011,122000,Quito,Negociable,23777
Chevrolet,Captiva,GOLD,2012,50000,Quito,Negociable,18900
Chevrolet,Aveo Family,GOLD,2015,94000,Quito,Negociable,10400
Mercedes Benz,ML 350 4matic,GOLD,2010,150000,Quito,Negociable,39900
Nissan,Qashqai,GOLD,2015,72000,Quito,Negociable,22900
Toyota,Hilux SR AC CD,GOLD,2018,112600,Cuenca,Negociable,38000
Mazda,BT-50 CS 2.2,STANDAR,2013,260000,Quito,Negociable,13477
Mazda,BT-50,STANDAR,2013,260000,Quito,Negociable,13477
Volvo,XC70,GOLD,2012,27000,Quito,Negociable,49777
Kia,Sportage Active,GOLD,2015,66000,Quito,Negociable,17900
Skoda,OCTAVIA A5 COMBI STATION WAGON,GOLD,2012,60000,Guayaquil,Negociable,12000
Chevrolet,Aveo Activo,GOLD,2011,200000,Quito,Negociable,9900
Kia,Sportage,GOLD,2007,119000,Quito,Negociable,12900
Fiat,Palio,STANDAR,2013,55000,Quito,Fijo,13900
BMW,325i,GOLD,1992,214000,Quito,Negociable,11777
Chevrolet,Spark GT,GOLD,2019,51000,Quito,Negociable,12900
Ford,F150 SC 4X2,GOLD,2013,150000,Guayaquil,Negociable,19900
Chevrolet,N300,GOLD,2015,125000,Quito,Negociable,10900
Chevrolet,Captiva Sport,GOLD,2010,140000,Quito,Negociable,16900
Chevrolet,Corsa Evolution,GOLD,2007,300000,Quito,Negociable,7900
Skoda,SuperB,GOLD,2003,178000,Quito,Negociable,9500
Chery,Van,GOLD,2012,350000,Quito,Negociable,8400
Kia,Picanto R,GOLD,2019,35912,Quito,Negociable,13000
Chevrolet,Silverado Hibrido,GOLD,2011,122000,Quito,Negociable,23777
Ford,F-150 FX4,GOLD,2014,120000,Guayaquil,Negociable,34000
Toyota,Fortuner 2.7,STANDAR,2011,106000,Quito,Fijo,23900
Dodge,Nitro,GOLD,2010,121056,Quito,Negociable,27900
Great Wall,Hover H5 Full,GOLD,2018,40000,Quito,Negociable,19900
Chevrolet,Scross,GOLD,2018,59346,Quito,Negociable,18500
Kia,Rio LX AC,GOLD,2019,36000,Quito,Negociable,16900
Citroen,DS3,GOLD,2014,85000,Quito,Negociable,19900
Toyota,Yaris,GOLD,2002,275000,Quito,Fijo,8400
Nissan,Juke,GOLD,2018,140000,Quito,Negociable,25900
Chevrolet,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,GOLD,2017,76000,Guayaquil,Negociable,29800
Citroen,C4 Picasso,GOLD,2013,146000,Guayaquil,Fijo,15000
Ford,F150 XLT CD,GOLD,2017,44000,Guayaquil,Negociable,47000
Mercedes Benz,C180 CGI,GOLD,2010,99000,Quito,Negociable,30777
Hyundai,Accent,STANDAR,2015,130000,Quito,Negociable,15900
Peugeot,207 Compact,GOLD,2012,129000,Quito,Negociable,9900
Chevrolet,Sail,STANDAR,2019,35000,Quito,Negociable,13200
Ford,Explorer 5P,GOLD,2013,97000,Quito,Negociable,31777
Chevrolet,Sail,GOLD,2018,45270,Guayaquil,Negociable,13900
Ford,Explorer XLT,GOLD,2012,150000,Guayaquil,Negociable,26500
Renault,Duster 2.0,GOLD,2013,82300,Quito,Negociable,14200
Ford,Escape Hibrido,STANDAR,2010,238000,Quito,Negociable,15600
Volkswagen,Voyage,STANDAR,2016,115000,Quito,Fijo,12900
Toyota,FJ Cruiser,GOLD,2014,92000,Guayaquil,Negociable,51500
Mercedes Benz,A 200,GOLD,2005,72000,Quito,Negociable,17977
Chevrolet,Cruze,GOLD,2013,86000,Quito,Negociable,15900
Jeep,Cherokee,GOLD,1987,333000,Quito,Negociable,4900
Volkswagen,Voyage,GOLD,2014,38000,Quito,Negociable,12900
Hyundai,Accent,GOLD,2013,98000,Quito,Negociable,12900
Kia,Cerato Forte,GOLD,2015,64000,Quito,Negociable,16300
Land Rover,Discovery,GOLD,2006,159000,Quito,Negociable,29000
Audi,Q3,GOLD,2015,31482,Quito,Negociable,34900
BMW,X5 3.0i,GOLD,2003,165000,Quito,Negociable,19500
Chevrolet,Aveo Emotion GLS,GOLD,2016,70000,Quito,Negociable,15400
Nissan,Versa,GOLD,2016,83000,Quito,Negociable,14800
Foton,VIEW C BJ6536,GOLD,2014,130000,Quito,Negociable,14900
Nissan,Tiida,GOLD,2016,66500,Quito,Negociable,13900
Chevrolet,Spark GT,GOLD,2018,35779,Quito,Negociable,11000
Kia,Sorento,GOLD,2008,182000,Quito,Negociable,11990
Ford,Explorer XLT,STANDAR,2008,149125,Quito,Negociable,14800
Mazda,CX-5,GOLD,2014,103000,Quito,Negociable,20500
Chevrolet,Cavalier,GOLD,2018,20250,Guayaquil,Negociable,18900
Volkswagen,Vento GLS,GOLD,1993,267842,Quito,Negociable,5700
Nissan,Xtrail Classic,GOLD,2010,181514,Quito,Negociable,11800
Toyota,4 Runner,GOLD,2014,122000,Quito,Negociable,49900
Chevrolet,Captiva Sport,GOLD,2011,104000,Quito,Negociable,12900
Kia,Rio,GOLD,2020,12000,Cuenca,Negociable,17500
Ford,Explorer,STANDAR,2014,86000,Quito,Negociable,32900
Chevrolet,Grand Vitara 3P,GOLD,2001,165000,Quito,Negociable,9900
Kia,Sorento,GOLD,2003,191000,Quito,Negociable,9900
Mazda,CX-5,GOLD,2014,76000,Quito,Negociable,23590
Mazda,3,GOLD,2017,34000,Quito,Negociable,21900
Chevrolet,Blazer,GOLD,1981,81000,Ambato,Negociable,12000
Peugeot,206 XT,STANDAR,2007,180000,Quito,Negociable,7700
Chevrolet,Sail,GOLD,2018,27309,Quito,Negociable,14900
Volkswagen,Tiguan,GOLD,2009,72000,Ambato,Negociable,19000
Toyota,Fortuner 2.7,GOLD,2015,166621,Cuenca,Negociable,32000
Ford,Explorer XLT,GOLD,2013,107000,Quito,Negociable,26300
Mitsubishi,Outlander,GOLD,2014,115000,Quito,Negociable,23900
Jeep,Grand Cherokee Limited,GOLD,2012,26000,Quito,Negociable,38900
Jeep,Wrangler Unlimited Sport,GOLD,2013,123,Quito,Negociable,54900
Nissan,Qashqai,GOLD,2018,46,Quito,Negociable,29900
Mazda,CX-9,GOLD,2008,148000,Quito,Negociable,15900
Ssangyong,Tivoli ss,GOLD,2019,81000,Quito,Negociable,18900
Mazda,2,GOLD,2007,164000,Quito,Negociable,9900
Mercedes Benz,ML 350 4matic,GOLD,2013,42000,Quito,Negociable,73900
Audi,Q3,GOLD,2016,55000,Quito,Negociable,30900
Renault,Logan,GOLD,2014,91756,Quito,Negociable,9700
Chevrolet,Aveo Activo,GOLD,2010,210000,Quito,Negociable,7000
Chevrolet,Aveo Family,GOLD,2015,150000,Quito,Negociable,8500
Hyundai,Santa Fe 4x2,STANDAR,2013,129000,Guayaquil,Negociable,19900
Mitsubishi,Montero 5P,GOLD,2006,180000,Quito,Negociable,17900
Nissan,Kicks,GOLD,2018,60592,Quito,Negociable,20800
Mercedes Benz,C320,GOLD,2001,223000,Quito,Negociable,13900
Kia,Picanto R,GOLD,2019,28316,Quito,Negociable,11900
Kia,Cerato,GOLD,2015,90000,Quito,Negociable,12800
Skoda,Fabia,GOLD,2009,100000,Cuenca,Negociable,7600
Chevrolet,Grand Vitara SZ,GOLD,2011,121000,Quito,Negociable,13500
Chevrolet,N300,GOLD,2013,99000,Quito,Negociable,12900
Mazda,CX-5,GOLD,2014,96000,Quito,Negociable,21900
Hyundai,Accent New,GOLD,2016,69000,Quito,Negociable,15500
Audi,A4,GOLD,2006,123000,Quito,Negociable,17200
Chevrolet,Grand Vitara 5P,GOLD,2013,106000,Quito,Negociable,14390
Hyundai,New Elantra,GOLD,2014,91000,Quito,Negociable,14300
Toyota,Hilux CD 4x2,STANDAR,2018,85000,Guayaquil,Negociable,26890
Hyundai,Santa Fe V6 3.5,GOLD,2011,154382,Quito,Negociable,18490
Chevrolet,Cruze,GOLD,2014,70490,Quito,Negociable,14900
Chevrolet,Grand Vitara SZ Next,GOLD,2017,74796,Quito,Negociable,17500
Toyota,Fortuner 4.0,GOLD,2015,94400,Cuenca,Negociable,36000
Ford,F150,GOLD,2007,194500,Cuenca,Negociable,17900
Mazda,CX-5 Full,GOLD,2014,130000,Quito,Negociable,21500
Hyundai,Tucson IX,GOLD,2011,129000,Cuenca,Negociable,16300
Mazda,CX-5 Full,GOLD,2015,56500,Quito,Negociable,25490
Citroen,Xsara Picaso,GOLD,2005,239000,Quito,Negociable,7900
Toyota,Fortuner 2.7,GOLD,2012,175000,Quito,Negociable,27390
Citroen,C3 Aircross,GOLD,2019,25600,Guayaquil,Negociable,21900
Hyundai,Santa Fe 4x2,GOLD,2013,151000,Quito,Negociable,23900
Chevrolet,Sail,GOLD,2014,86150,Quito,Negociable,9700
Mercedes Benz,230E,GOLD,1996,176500,Quito,Negociable,10300
Mercedes Benz,230,GOLD,1996,176500,Quito,Negociable,10500
Chevrolet,LUV CS,GOLD,2005,200000,Quito,Negociable,13900
Mazda,CX-5,GOLD,2015,56500,Quito,Negociable,25490
Hyundai,Accent,STANDAR,2011,90000,Quito,Negociable,9900
Chevrolet,Trailblazer,TOP,2008,150000,Ambato,Negociable,23500
Nissan,Tiida,GOLD,2015,98326,Quito,Negociable,12700
Kia,Rio R,GOLD,2014,93223,Quito,Negociable,14000
Ford,F150 DC 4X2,GOLD,2011,159000,Cuenca,Negociable,21800
Ford,F150 CS 4x4,STANDAR,2010,114641,Quito,Negociable,16500
Citroen,C5,GOLD,2011,140600,Guayaquil,Fijo,17000
Citroen,C2,GOLD,2008,100000,Quito,Negociable,8500
Renault,Duster 1.6,STANDAR,2014,114000,Quito,Negociable,13500
Hyundai,Tucson IX,GOLD,2012,140000,Quito,Negociable,16200
Volkswagen,Passat CC Sport,GOLD,2014,58900,Guayaquil,Fijo,31500
Toyota,Prius,GOLD,2012,136400,Guayaquil,Negociable,13590
Kia,Rio R,GOLD,2017,39000,Riobamba,Negociable,15900
Renault,Twingo,STANDAR,2003,279000,Quito,Negociable,4800
Chevrolet,Aveo Family,GOLD,2017,50000,Quito,Negociable,11300
Chevrolet,Aveo Family,GOLD,2017,60000,Quito,Negociable,11000
Renault,Duster 2.0,GOLD,2015,109400,Guayaquil,Negociable,15500
Hyundai,Sonata Hybrid,GOLD,2015,72300,Guayaquil,Negociable,17500
Chevrolet,Sail,GOLD,2015,96300,Guayaquil,Negociable,10500
Chevrolet,Sail,GOLD,2016,56400,Guayaquil,Negociable,11900
Suzuki,Grand Vitara SZ,GOLD,2015,111400,Quito,Negociable,16000
Nissan,X Trail Sense,GOLD,2015,74500,Quito,Negociable,26000
Nissan,X-Trail Exclusive,GOLD,2016,65296,Quito,Negociable,32000
Nissan,Versa,GOLD,2016,78500,Quito,Negociable,15200
Nissan,Versa,GOLD,2016,40500,Quito,Negociable,15200
Nissan,Versa,GOLD,2017,55400,Quito,Negociable,16200
Nissan,Tiida,GOLD,2016,69464,Quito,Negociable,13500
Nissan,Sentra Exclusive,GOLD,2015,70300,Quito,Negociable,16000
Nissan,Sentra Exclusive,GOLD,2015,68700,Quito,Negociable,16000
Suzuki,Grand Vitara SZ 2.4,GOLD,2018,50100,Quito,Negociable,19900
JMC,Vigus,STANDAR,2019,61499,Guayaquil,Fijo,16800
Honda,Pilot,GOLD,2006,190900,Quito,Negociable,15900
Chevrolet,Aveo Family,GOLD,2013,143541,Quito,Negociable,9700
Nissan,Sentra,GOLD,2013,99000,Quito,Negociable,9900
Mercedes Benz,ML 400 4Matic,GOLD,2015,44000,Quito,Negociable,105000
Toyota,Hilux CD 4x4,GOLD,2016,60000,Ambato,Negociable,37000
Maserati,Levante,GOLD,2017,9741,Quito,Negociable,128000
Hyundai,Tucson IX,GOLD,2013,102500,Cuenca,Negociable,19000
Chevrolet,Grand Vitara 5P,GOLD,2015,135000,Ambato,Negociable,14500
Chevrolet,Aveo Family,GOLD,2019,14000,Quito,Negociable,13300
GMC,Yukon SLT,GOLD,2004,198511,Guayaquil,Negociable,21500
Mini,CooperS,GOLD,2004,89000,Ambato,Negociable,22000
Porsche,Cayenne S,GOLD,2010,72527,Quito,Negociable,55000
Mazda,BT-50 CD ACTION 2.6,STANDAR,2015,82000,Guayaquil,Negociable,19000
Mercedes Benz,C63 AMG,GOLD,2013,20000,Ambato,Negociable,110000
Toyota,4 Runner,GOLD,2008,185000,Ambato,Negociable,28000
BMW,335i,GOLD,2011,54184,Quito,Negociable,42990
Cadillac,Escalade Hibrido,GOLD,2009,91462,Quito,Negociable,32900
Mercedes Benz,CLS 500,GOLD,2006,42496,Quito,Negociable,32900
Hyundai,Ioniq Hybrid,TOP,2018,23500,Quito,Negociable,18600
Mazda,CX7,GOLD,2008,82365,Quito,Negociable,17500
Citroen,C5,GOLD,2013,66900,Guayaquil,Negociable,21900
Chevrolet,Grand Vitara 5P,STANDAR,2012,160000,Guayaquil,Negociable,13500
Chevrolet,Aveo Activo,STANDAR,2011,130000,Quito,Negociable,9800
Chevrolet,Aveo Emotion,STANDAR,2017,62534,Quito,Negociable,14800
Chevrolet,D-MAX 4X2 CD,GOLD,2016,49000,Cuenca,Negociable,23000
Mazda,BT-50 CD 4x4 Turbo Diesel,GOLD,2013,145185,Quito,Negociable,18500
Jeep,Grand Cherokee Laredo,GOLD,2017,46060,Quito,Negociable,46900
Jeep,Grand Cherokee,GOLD,2017,46060,Quito,Negociable,46900
Kia,Sorento,GOLD,2007,150000,Quito,Negociable,11900
Volkswagen,Gol,GOLD,1999,189000,Quito,Negociable,5500
Mercedes Benz,E230,GOLD,1996,176500,Quito,Negociable,10500
Nissan,Versa,GOLD,2014,71500,Quito,Negociable,13900
Ford,Explorer,GOLD,2005,184995,Quito,Negociable,11500
Chevrolet,Optra Advance,GOLD,2012,126000,Riobamba,Negociable,11900
Great Wall,M4,GOLD,2015,85400,Quito,Negociable,12700
Ford,Explorer,GOLD,2005,184995,Quito,Negociable,11500
Ford,Explorer Eddie Bauer,GOLD,2005,184995,Quito,Negociable,11500
Mazda,Allegro,GOLD,2007,15000,Riobamba,Negociable,8800
Kia,Sportage Active V6 4x4,GOLD,2006,199821,Quito,Negociable,11600
Kia,Sportage,GOLD,2006,199821,Quito,Negociable,11700
Volkswagen,Jetta,GOLD,2014,78800,Quito,Negociable,14900
Kia,Rio Stylus,GOLD,2013,118000,Quito,Negociable,10200
Nissan,Almera,GOLD,2012,165000,Quito,Negociable,11300
Chevrolet,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,GOLD,2015,108000,Cuenca,Negociable,26900
Chevrolet,Aveo,GOLD,2016,60000,Quito,Negociable,11300
Chevrolet,Captiva Sport 4X4,GOLD,2010,70469,Quito,Negociable,16800
Toyota,Fortuner 2.7,GOLD,2017,61581,Quito,Negociable,38900
Mitsubishi,Montero 5P,GOLD,1999,230120,Quito,Negociable,10900
